Id,SalePrice
2658,150065.35487071224
2718,150674.35487071224
2414,208505.35487071224
1989,113280.35487071224
625,177885.85487071224
333,75050.02674571224
1327,100521.35487071224
858,156336.97987071224
95,188736.35487071224
1568,166911.35487071224
2482,161327.35487071224
1364,118916.35487071224
2584,156349.35487071224
818,251575.35487071224
2673,160447.35487071224
2089,123523.35487071224
1297,141989.35487071224
790,116316.35487071224
2616,199732.60487071224
720,177149.35487071224
222,151790.85487071224
557,127980.60487071224
1148,196298.35487071224
2766,191687.32362071224
534,191999.35487071224
1452,128132.79237071224
630,120905.35487071224
2648,122383.35487071224
125,155491.85487071224
1904,51652.35487071224
1670,108979.97987071224
756,88192.35487071224
717,237637.35487071224
1032,165501.60487071224
852,218882.35487071224
1731,175372.35487071224
2639,131381.35487071224
2071,88564.35487071224
1267,126382.85487071224
1851,199552.35487071224
567,165605.35487071224
2439,209054.35487071224
1898,157423.10487071224
647,180205.35487071224
2256,221972.35487071224
979,94611.72987071224
1444,224659.35487071224
2485,125170.97987071224
157,130640.85487071224
88,114670.35487071224
2003,116921.35487071224
186,203095.35487071224
1425,240947.35487071224
2695,129126.35487071224
738,92740.35487071224
395,164093.66737071224
1353,164079.35487071224
1878,146565.60487071224
390,163811.72987071224
1456,239266.35487071224
1103,300732.35487071227
1387,119629.35487071224
2070,140331.60487071224
1199,175747.35487071224
2479,179433.85487071224
501,291479.85487071227
2362,94839.47987071224
1718,214855.35487071224
2188,82933.35487071224
1483,166682.35487071224
2557,77781.35487071224
437,324721.35487071227
2224,206186.10487071224
1628,178443.35487071224
397,136221.68299571224
587,196500.35487071224
971,151232.35487071224
2611,143921.85487071224
1887,100007.60487071224
2399,316521.35487071227
2148,206958.35487071224
304,118825.35487071224
1997,122407.35487071224
2817,100825.35487071224
1431,203233.35487071224
427,299395.35487071227
263,131833.71424571224
598,173245.05799571224
2895,233702.85487071224
687,132570.35487071224
1822,136244.60487071224
2191,103745.35487071224
179,123348.35487071224
1009,212443.85487071224
2010,124593.35487071224
